supplier,unit,horizon,origin,model,train_rows,last_label_end_exclusive,seconds
IEK,м,7,2025-07-01,lgbm_l2,857,2025-07-01,0.06726809998508543
IEK,м,7,2025-07-01,lgbm_tweedie,857,2025-07-01,0.08268260001204908
IEK,м,7,2025-08-01,lgbm_l2,1225,2025-07-29,0.06812640000134706
IEK,м,7,2025-08-01,lgbm_tweedie,1225,2025-07-29,0.0683746999129653
IEK,м,7,2025-09-01,lgbm_l2,1709,2025-08-26,0.1323977999854833
IEK,м,7,2025-09-01,lgbm_tweedie,1709,2025-08-26,0.09685059997718781
IEK,м,7,2025-10-01,lgbm_l2,2303,2025-09-30,0.09176119999028742
IEK,м,7,2025-10-01,lgbm_tweedie,2303,2025-09-30,0.1193399999756366
IEK,м,7,2025-11-01,lgbm_l2,2808,2025-10-28,0.11522460007108748
IEK,м,7,2025-11-01,lgbm_tweedie,2808,2025-10-28,0.12106889998540282
IEK,м,7,2025-12-01,lgbm_l2,3318,2025-11-25,0.14613630005624145
IEK,м,7,2025-12-01,lgbm_tweedie,3318,2025-11-25,0.11999349994584918
IEK,м,7,2026-01-01,lgbm_l2,3934,2025-12-30,0.10426279995590448
IEK,м,7,2026-01-01,lgbm_tweedie,3934,2025-12-30,0.12851599999703467
IEK,м,7,2026-02-01,lgbm_l2,4454,2026-01-27,0.12207369995303452
IEK,м,7,2026-02-01,lgbm_tweedie,4454,2026-01-27,0.14696990000084043
IEK,м,7,2026-03-01,lgbm_l2,4982,2026-02-24,0.13012959994375706
IEK,м,7,2026-03-01,lgbm_tweedie,4982,2026-02-24,0.15431350003927946
IEK,м,7,2026-04-01,lgbm_l2,5623,2026-03-31,0.14871549990493804
IEK,м,7,2026-04-01,lgbm_tweedie,5623,2026-03-31,0.14999349997378886
IEK,м,7,2026-05-01,lgbm_l2,6163,2026-04-28,0.17252949997782707
IEK,м,7,2026-05-01,lgbm_tweedie,6163,2026-04-28,0.15862640005070716
IEK,м,7,2026-06-01,lgbm_l2,6703,2026-05-26,0.18154839996714145
IEK,м,7,2026-06-01,lgbm_tweedie,6703,2026-05-26,0.2132979000452906
IEK,м,7,2026-07-01,lgbm_l2,7351,2026-06-30,0.15736959991045296
IEK,м,7,2026-07-01,lgbm_tweedie,7351,2026-06-30,0.16765850002411753
IEK,м,7,2026-08-01,lgbm_l2,7892,2026-07-28,0.16103239997755736
IEK,м,7,2026-08-01,lgbm_tweedie,7892,2026-07-28,0.21257620002143085
IEK,м,28,2025-07-01,lgbm_l2,598,2025-07-01,0.042302099987864494
IEK,м,28,2025-07-01,lgbm_tweedie,598,2025-07-01,0.051273200078867376
IEK,м,28,2025-08-01,lgbm_l2,946,2025-07-29,0.0743961000116542
IEK,м,28,2025-08-01,lgbm_tweedie,946,2025-07-29,0.07424510002601892
IEK,м,28,2025-09-01,lgbm_l2,1417,2025-08-29,0.09134239994455129
IEK,м,28,2025-09-01,lgbm_tweedie,1417,2025-08-29,0.12433510005939752
IEK,м,28,2025-10-01,lgbm_l2,2003,2025-09-30,0.09225380001589656
IEK,м,28,2025-10-01,lgbm_tweedie,2003,2025-09-30,0.11930060002487153
IEK,м,28,2025-11-01,lgbm_l2,2505,2025-10-29,0.09759949997533113
IEK,м,28,2025-11-01,lgbm_tweedie,2505,2025-10-29,0.11264810001011938
IEK,м,28,2025-12-01,lgbm_l2,3012,2025-11-29,0.1933207999682054
IEK,м,28,2025-12-01,lgbm_tweedie,3012,2025-11-29,0.1253410999197513
IEK,м,28,2026-01-01,lgbm_l2,3624,2025-12-30,0.11543090001214296
IEK,м,28,2026-01-01,lgbm_tweedie,3624,2025-12-30,0.1538859000429511
IEK,м,28,2026-02-01,lgbm_l2,4142,2026-01-29,0.10495169996283948
IEK,м,28,2026-02-01,lgbm_tweedie,4142,2026-01-29,0.14951580006163567
IEK,м,28,2026-03-01,lgbm_l2,4664,2026-03-01,0.10788000002503395
IEK,м,28,2026-03-01,lgbm_tweedie,4664,2026-03-01,0.15600880002602935
IEK,м,28,2026-04-01,lgbm_l2,5302,2026-03-31,0.12872349994722754
IEK,м,28,2026-04-01,lgbm_tweedie,5302,2026-03-31,0.1651910999789834
IEK,м,28,2026-05-01,lgbm_l2,5839,2026-04-29,0.11521530000027269
IEK,м,28,2026-05-01,lgbm_tweedie,5839,2026-04-29,0.152718500001356
IEK,м,28,2026-06-01,lgbm_l2,6379,2026-05-29,0.17584429995622486
IEK,м,28,2026-06-01,lgbm_tweedie,6379,2026-05-29,0.18816290004178882
IEK,м,28,2026-07-01,lgbm_l2,7027,2026-06-30,0.14622120000422
IEK,м,28,2026-07-01,lgbm_tweedie,7027,2026-06-30,0.23484460008330643
IEK,м,28,2026-08-01,lgbm_l2,7567,2026-07-29,0.1657216000603512
IEK,м,28,2026-08-01,lgbm_tweedie,7567,2026-07-29,0.3057518000714481
IEK,упак,7,2025-07-01,lgbm_l2,568,2025-07-01,0.04571930004749447
IEK,упак,7,2025-07-01,lgbm_tweedie,568,2025-07-01,0.06847649998962879
IEK,упак,7,2025-08-01,lgbm_l2,797,2025-07-29,0.06585150002501905
IEK,упак,7,2025-08-01,lgbm_tweedie,797,2025-07-29,0.07920409995131195
IEK,упак,7,2025-09-01,lgbm_l2,1092,2025-08-26,0.11274130002129823
IEK,упак,7,2025-09-01,lgbm_tweedie,1092,2025-08-26,0.08403649996034801
IEK,упак,7,2025-10-01,lgbm_l2,1448,2025-09-30,0.11662440001964569
IEK,упак,7,2025-10-01,lgbm_tweedie,1448,2025-09-30,0.08891859999857843
IEK,упак,7,2025-11-01,lgbm_l2,1755,2025-10-28,0.10520039999391884
IEK,упак,7,2025-11-01,lgbm_tweedie,1755,2025-10-28,0.10034799994900823
IEK,упак,7,2025-12-01,lgbm_l2,2076,2025-11-25,0.0966424000216648
IEK,упак,7,2025-12-01,lgbm_tweedie,2076,2025-11-25,0.10532950004562736
IEK,упак,7,2026-01-01,lgbm_l2,2468,2025-12-30,0.11208900006022304
IEK,упак,7,2026-01-01,lgbm_tweedie,2468,2025-12-30,0.1695751000661403
IEK,упак,7,2026-02-01,lgbm_l2,2798,2026-01-27,0.11703670001588762
IEK,упак,7,2026-02-01,lgbm_tweedie,2798,2026-01-27,0.11691189999692142
IEK,упак,7,2026-03-01,lgbm_l2,3133,2026-02-24,0.1300273999804631
IEK,упак,7,2026-03-01,lgbm_tweedie,3133,2026-02-24,0.11954919993877411
IEK,упак,7,2026-04-01,lgbm_l2,3536,2026-03-31,0.12698219995945692
IEK,упак,7,2026-04-01,lgbm_tweedie,3536,2026-03-31,0.1298897999804467
IEK,упак,7,2026-05-01,lgbm_l2,3876,2026-04-28,0.13102049997542053
IEK,упак,7,2026-05-01,lgbm_tweedie,3876,2026-04-28,0.13438780000433326
IEK,упак,7,2026-06-01,lgbm_l2,4216,2026-05-26,0.11363410006742924
IEK,упак,7,2026-06-01,lgbm_tweedie,4216,2026-05-26,0.14055880007799715
IEK,упак,7,2026-07-01,lgbm_l2,4635,2026-06-30,0.1272469999967143
IEK,упак,7,2026-07-01,lgbm_tweedie,4635,2026-06-30,0.16293500002939254
IEK,упак,7,2026-08-01,lgbm_l2,4987,2026-07-28,0.1965445999521762
IEK,упак,7,2026-08-01,lgbm_tweedie,4987,2026-07-28,0.14822720002848655
IEK,упак,28,2025-07-01,lgbm_l2,397,2025-07-01,0.04424409999046475
IEK,упак,28,2025-07-01,lgbm_tweedie,397,2025-07-01,0.03946559992618859
IEK,упак,28,2025-08-01,lgbm_l2,625,2025-07-29,0.06187479989603162
IEK,упак,28,2025-08-01,lgbm_tweedie,625,2025-07-29,0.04495780006982386
IEK,упак,28,2025-09-01,lgbm_l2,915,2025-08-29,0.06420319993048906
IEK,упак,28,2025-09-01,lgbm_tweedie,915,2025-08-29,0.06729829998221248
IEK,упак,28,2025-10-01,lgbm_l2,1269,2025-09-30,0.0652560000307858
IEK,упак,28,2025-10-01,lgbm_tweedie,1269,2025-09-30,0.07217179995495826
IEK,упак,28,2025-11-01,lgbm_l2,1570,2025-10-29,0.07502099999692291
IEK,упак,28,2025-11-01,lgbm_tweedie,1570,2025-10-29,0.08344060007948428
IEK,упак,28,2025-12-01,lgbm_l2,1883,2025-11-29,0.09704949997831136
IEK,упак,28,2025-12-01,lgbm_tweedie,1883,2025-11-29,0.1326575999846682
IEK,упак,28,2026-01-01,lgbm_l2,2271,2025-12-30,0.09572009998373687
IEK,упак,28,2026-01-01,lgbm_tweedie,2271,2025-12-30,0.13285589998122305
IEK,упак,28,2026-02-01,lgbm_l2,2600,2026-01-29,0.09933790005743504
IEK,упак,28,2026-02-01,lgbm_tweedie,2600,2026-01-29,0.14546599995810539
IEK,упак,28,2026-03-01,lgbm_l2,2932,2026-03-01,0.13032430002931505
IEK,упак,28,2026-03-01,lgbm_tweedie,2932,2026-03-01,0.12698079994879663
IEK,упак,28,2026-04-01,lgbm_l2,3334,2026-03-31,0.10808360006194562
IEK,упак,28,2026-04-01,lgbm_tweedie,3334,2026-03-31,0.1391742000123486
IEK,упак,28,2026-05-01,lgbm_l2,3672,2026-04-29,0.09617210004944354
IEK,упак,28,2026-05-01,lgbm_tweedie,3672,2026-04-29,0.11601160001009703
IEK,упак,28,2026-06-01,lgbm_l2,4012,2026-05-29,0.1540524000301957
IEK,упак,28,2026-06-01,lgbm_tweedie,4012,2026-05-29,0.1652955999597907
IEK,упак,28,2026-07-01,lgbm_l2,4425,2026-06-30,0.12221770000178367
IEK,упак,28,2026-07-01,lgbm_tweedie,4425,2026-06-30,0.18332499999087304
