origin,supplier,unit,horizon,model,n,sku_count,actual_qty,predicted_qty,wape_pct,bias_pct,underforecast_pct,overforecast_pct,zero_actual_pct,mae
2025-07-01,IEK,м,7,baseline_selected,89,89,13209.0,10850.856,69.089,-17.853,43.471,25.618,53.933,102.53903972236708
2025-07-01,IEK,м,7,lgbm_l2,89,89,13209.0,15955.073,80.859,20.789,30.035,50.824,53.933,120.00708669167611
2025-07-01,IEK,м,7,lgbm_tweedie,89,89,13209.0,10291.342,75.766,-22.088,48.927,26.839,53.933,112.44894380615617
2025-07-01,IEK,м,7,lgbm_selected,89,89,13209.0,10291.342,75.766,-22.088,48.927,26.839,53.933,112.44894380615617
2025-08-01,IEK,м,7,baseline_selected,96,96,12316.0,12974.22,72.816,5.344,33.736,39.08,50.0,93.41697711991982
2025-08-01,IEK,м,7,lgbm_l2,96,96,12316.0,16672.605,92.348,35.374,28.487,63.861,50.0,118.47505104017007
2025-08-01,IEK,м,7,lgbm_tweedie,96,96,12316.0,13039.305,77.503,5.873,35.815,41.688,50.0,99.42950589634334
2025-08-01,IEK,м,7,lgbm_selected,96,96,12316.0,13039.305,77.503,5.873,35.815,41.688,50.0,99.42950589634334
2025-09-01,IEK,м,7,baseline_selected,98,98,13681.0,12681.125,83.239,-7.308,45.274,37.965,52.041,116.203376117292
2025-09-01,IEK,м,7,lgbm_l2,98,98,13681.0,14248.614,96.821,4.149,46.336,50.485,52.041,135.16383805582166
2025-09-01,IEK,м,7,lgbm_tweedie,98,98,13681.0,11767.798,97.186,-13.984,55.585,41.601,52.041,135.67383539566598
2025-09-01,IEK,м,7,lgbm_selected,98,98,13681.0,11767.798,97.186,-13.984,55.585,41.601,52.041,135.67383539566598
2025-10-01,IEK,м,7,baseline_selected,101,101,16353.0,10927.36,69.975,-33.178,51.577,18.398,47.525,113.29752275371222
2025-10-01,IEK,м,7,lgbm_l2,101,101,16353.0,13877.858,77.283,-15.136,46.21,31.074,47.525,125.13009040586643
