phase,supplier,unit,horizon,segment,model,n,sku_count,actual_qty,predicted_qty,wape_pct,bias_pct,underforecast_pct,overforecast_pct,zero_actual_pct,mae
development_2025,IEK,м,7,all,baseline_selected,588,102,72010.0,67219.658,79.69,-6.652,43.171,36.519,51.361,97.59283961221267
development_2025,IEK,м,7,all,lgbm_l2,588,102,72010.0,82469.326,89.759,14.525,37.617,52.142,51.361,109.9242024045515
development_2025,IEK,м,7,all,lgbm_tweedie,588,102,72010.0,61763.795,82.687,-14.229,48.458,34.229,51.361,101.26343395739188
development_2025,IEK,м,7,all,lgbm_selected,588,102,72010.0,61763.795,82.687,-14.229,48.458,34.229,51.361,101.26343395739188
development_2025,IEK,м,7,regular,baseline_selected,294,66,70649.0,65904.062,78.294,-6.716,42.505,35.789,23.469,188.141470042224
development_2025,IEK,м,7,regular,lgbm_l2,294,66,70649.0,79046.701,86.51,11.887,37.312,49.198,23.469,207.88703659305324
development_2025,IEK,м,7,regular,lgbm_tweedie,294,66,70649.0,60783.295,81.757,-13.964,47.861,33.897,23.469,196.46534514893312
development_2025,IEK,м,7,regular,lgbm_selected,294,66,70649.0,60783.295,81.757,-13.964,47.861,33.897,23.469,196.46534514893312
development_2025,IEK,м,7,intermittent,baseline_selected,294,66,1361.0,1315.597,152.167,-3.336,77.752,74.416,79.252,7.044209182201355
development_2025,IEK,м,7,intermittent,lgbm_l2,294,66,1361.0,3422.625,258.387,151.479,53.454,204.933,79.252,11.961368216049772
development_2025,IEK,м,7,intermittent,lgbm_tweedie,294,66,1361.0,980.5,130.94,-27.957,79.448,51.491,79.252,6.061522765850663
development_2025,IEK,м,7,intermittent,lgbm_selected,294,66,1361.0,980.5,130.94,-27.957,79.448,51.491,79.252,6.061522765850663
retrospective_2026,IEK,м,7,all,baseline_selected,857,109,60521.0,50887.091,92.697,-15.918,54.308,38.389,63.477,65.4622842617124
retrospective_2026,IEK,м,7,all,lgbm_l2,857,109,60521.0,62544.738,97.668,3.344,47.162,50.506,63.477,68.97291054098007
retrospective_2026,IEK,м,7,all,lgbm_tweedie,857,109,60521.0,46766.064,85.829,-22.728,54.278,31.551,63.477,60.61224879834834
retrospective_2026,IEK,м,7,all,lgbm_selected,857,109,60521.0,46766.064,85.829,-22.728,54.278,31.551,63.477,60.61224879834834
retrospective_2026,IEK,м,7,regular,baseline_selected,341,60,52718.0,48197.698,88.26,-8.574,48.417,39.843,28.152,136.44914030482806
retrospective_2026,IEK,м,7,regular,lgbm_l2,341,60,52718.0,55551.695,88.899,5.375,41.762,47.137,28.152,137.4360858260019
retrospective_2026,IEK,м,7,regular,lgbm_tweedie,341,60,52718.0,44413.7,81.295,-15.752,48.523,32.771,28.152,125.67997463472786
retrospective_2026,IEK,м,7,regular,lgbm_selected,341,60,52718.0,44413.7,81.295,-15.752,48.523,32.771,28.152,125.67997463472786
retrospective_2026,IEK,м,7,intermittent,baseline_selected,516,82,7803.0,2689.393,122.671,-65.534,94.102,28.569,86.822,18.550427845622398
retrospective_2026,IEK,м,7,intermittent,lgbm_l2,516,82,7803.0,6993.042,156.915,-10.38,83.648,73.267,86.822,23.72883540107222
retrospective_2026,IEK,м,7,intermittent,lgbm_tweedie,516,82,7803.0,2352.364,116.466,-69.853,93.159,23.306,86.822,17.61206563903552
retrospective_2026,IEK,м,7,intermittent,lgbm_selected,516,82,7803.0,2352.364,116.466,-69.853,93.159,23.306,86.822,17.61206563903552
development_2025,IEK,м,28,all,baseline_selected,588,102,306065.0,268878.633,50.471,-12.15,31.31,19.161,25.0,262.71158092292217
development_2025,IEK,м,28,all,lgbm_l2,588,102,306065.0,354120.674,60.14,15.701,22.219,37.921,25.0,313.0399258909118
development_2025,IEK,м,28,all,lgbm_tweedie,588,102,306065.0,313760.925,53.751,2.514,25.618,28.133,25.0,279.782798188605
development_2025,IEK,м,28,all,lgbm_selected,588,102,306065.0,313760.925,53.751,2.514,25.618,28.133,25.0,279.782798188605
development_2025,IEK,м,28,regular,baseline_selected,294,66,297514.0,263616.247,49.132,-11.394,30.263,18.869,3.401,497.19518704820865
development_2025,IEK,м,28,regular,lgbm_l2,294,66,297514.0,338153.343,56.767,13.66,21.554,35.213,3.401,574.4517479634637
development_2025,IEK,м,28,regular,lgbm_tweedie,294,66,297514.0,306818.331,52.35,3.127,24.611,27.739,3.401,529.7587512961867
development_2025,IEK,м,28,regular,lgbm_selected,294,66,297514.0,306818.331,52.35,3.127,24.611,27.739,3.401,529.7587512961867
development_2025,IEK,м,28,intermittent,baseline_selected,294,66,8551.0,5262.386,97.053,-38.459,67.756,29.297,46.599,28.227974797635483
development_2025,IEK,м,28,intermittent,lgbm_l2,294,66,8551.0,15967.332,177.507,86.731,45.388,132.119,46.599,51.62810381835991
development_2025,IEK,м,28,intermittent,lgbm_tweedie,294,66,8551.0,6942.594,102.482,-18.81,60.646,41.836,46.599,29.80684508102322
development_2025,IEK,м,28,intermittent,lgbm_selected,294,66,8551.0,6942.594,102.482,-18.81,60.646,41.836,46.599,29.80684508102322
retrospective_2026,IEK,м,28,all,baseline_selected,857,109,263396.0,203548.366,64.977,-22.722,43.849,21.128,38.74,199.7032124383061
retrospective_2026,IEK,м,28,all,lgbm_l2,857,109,263396.0,259742.726,62.084,-1.387,31.735,30.348,38.74,190.81242016098068
retrospective_2026,IEK,м,28,all,lgbm_tweedie,857,109,263396.0,234664.373,58.803,-10.908,34.856,23.947,38.74,180.72939572026826
retrospective_2026,IEK,м,28,all,lgbm_selected,857,109,263396.0,234664.373,58.803,-10.908,34.856,23.947,38.74,180.72939572026826
retrospective_2026,IEK,м,28,regular,baseline_selected,341,60,243938.0,192790.793,61.155,-20.967,41.061,20.094,4.692,437.4779940811648
retrospective_2026,IEK,м,28,regular,lgbm_l2,341,60,243938.0,232204.524,56.568,-4.81,30.689,25.879,4.692,404.66352944091255
retrospective_2026,IEK,м,28,regular,lgbm_tweedie,341,60,243938.0,217199.934,54.578,-10.961,32.769,21.808,4.692,390.4288207754753
retrospective_2026,IEK,м,28,regular,lgbm_selected,341,60,243938.0,217199.934,54.578,-10.961,32.769,21.808,4.692,390.4288207754753
retrospective_2026,IEK,м,28,intermittent,baseline_selected,516,82,19458.0,10757.572,112.888,-44.714,78.801,34.087,61.24,42.56910286424634
retrospective_2026,IEK,м,28,intermittent,lgbm_l2,516,82,19458.0,27538.202,131.236,41.526,44.855,86.381,61.24,49.48833437714972
retrospective_2026,IEK,м,28,intermittent,lgbm_tweedie,516,82,19458.0,17464.439,111.773,-10.245,61.009,50.764,61.24,42.14896172060628
retrospective_2026,IEK,м,28,intermittent,lgbm_selected,516,82,19458.0,17464.439,111.773,-10.245,61.009,50.764,61.24,42.14896172060628
development_2025,IEK,упак,7,all,baseline_selected,365,65,5820.0,5929.237,51.879,1.877,25.001,26.878,64.11,8.272161597399581
development_2025,IEK,упак,7,all,lgbm_l2,365,65,5820.0,6673.503,66.722,14.665,26.028,40.693,64.11,10.6388877261154
development_2025,IEK,упак,7,all,lgbm_tweedie,365,65,5820.0,5469.922,52.854,-6.015,29.435,23.419,64.11,8.427678868291995
development_2025,IEK,упак,7,all,lgbm_selected,365,65,5820.0,5469.922,52.854,-6.015,29.435,23.419,64.11,8.427678868291995
development_2025,IEK,упак,7,intermittent,baseline_selected,234,50,250.0,130.983,117.912,-47.607,82.759,35.153,83.333,1.2597421410980734
development_2025,IEK,упак,7,intermittent,lgbm_l2,234,50,250.0,242.129,152.651,-3.148,77.9,74.751,83.333,1.6308837933694373
