supplier,unit,horizon,model,feature,gain
IEK,м,7,lgbm_l2,sku_id,3542115398.0
IEK,м,7,lgbm_l2,age,197830145.0
IEK,м,7,lgbm_l2,days_since_sale,57849327.0
IEK,м,7,lgbm_l2,month_sin,147450804.0
IEK,м,7,lgbm_l2,month_cos,219406227.0
IEK,м,7,lgbm_l2,weekday,0.0
IEK,м,7,lgbm_l2,month_day,69652633.0
IEK,м,7,lgbm_l2,mean_7,103741826.0
IEK,м,7,lgbm_l2,active_fraction_7,27901487.0
IEK,м,7,lgbm_l2,mean_14,116503584.0
IEK,м,7,lgbm_l2,active_fraction_14,263716660.0
IEK,м,7,lgbm_l2,mean_28,145904175.703125
IEK,м,7,lgbm_l2,active_fraction_28,55741947.0
IEK,м,7,lgbm_l2,mean_56,83136486.0
IEK,м,7,lgbm_l2,active_fraction_56,450920530.0
IEK,м,7,lgbm_l2,mean_84,1466233471.0
IEK,м,7,lgbm_l2,active_fraction_84,500706231.0
IEK,м,7,lgbm_l2,week_lag_1,0.0
IEK,м,7,lgbm_l2,week_lag_2,266569224.0
IEK,м,7,lgbm_l2,week_lag_3,72326433.0
IEK,м,7,lgbm_l2,week_lag_4,179999496.0
IEK,м,7,lgbm_l2,week_lag_5,174353510.0
IEK,м,7,lgbm_l2,week_lag_6,165033245.0
IEK,м,7,lgbm_l2,week_lag_7,160759578.0
IEK,м,7,lgbm_l2,week_lag_8,195657616.0
IEK,м,7,lgbm_l2,max_56,53708241.0
IEK,м,7,lgbm_l2,std_56,63174446.0
IEK,м,7,lgbm_l2,positive_size_56,163021896.0
IEK,м,7,lgbm_l2,recent_ratio,85316027.0
IEK,м,7,lgbm_tweedie,sku_id,2537865.152294159
IEK,м,7,lgbm_tweedie,age,23639.730318069458
IEK,м,7,lgbm_tweedie,days_since_sale,6768.468223571777
IEK,м,7,lgbm_tweedie,month_sin,7642.000312805176
IEK,м,7,lgbm_tweedie,month_cos,11232.06865119934
IEK,м,7,lgbm_tweedie,weekday,710.0625152587891
IEK,м,7,lgbm_tweedie,month_day,19222.893096923828
IEK,м,7,lgbm_tweedie,mean_7,11769.661804199219
IEK,м,7,lgbm_tweedie,active_fraction_7,2504.5145988464355
