supplier,unit,horizon,model,n,sku_count,actual_qty,predicted_qty,wape_pct,bias_pct,underforecast_pct,overforecast_pct,zero_actual_pct,mae
IEK,м,28,tsb_a0.1_p0.2,588,102,306065.0,326681.536,57.366,6.736,25.315,32.051,25.0,298.6007816696859
IEK,м,28,tsb_a0.2_p0.01,588,102,306065.0,300704.252,56.685,-1.752,29.218,27.467,25.0,295.05771298886805
IEK,м,28,tsb_a0.2_p0.05,588,102,306065.0,342791.868,58.461,12.0,23.231,35.23,25.0,304.30088394315266
IEK,м,28,tsb_a0.2_p0.1,588,102,306065.0,342010.799,60.07,11.744,24.163,35.907,25.0,312.6754884306592
IEK,м,28,tsb_a0.2_p0.2,588,102,306065.0,335925.039,62.454,9.756,26.349,36.105,25.0,325.0852208005408
IEK,упак,7,sultan_mean59,365,65,5820.0,5929.237,51.879,1.877,25.001,26.878,64.11,8.272161597399581
IEK,упак,7,mean28,365,65,5820.0,6063.0,61.16,4.175,28.492,32.668,64.11,9.752054794520548
IEK,упак,7,weekly_ewma,365,65,5820.0,6089.726,57.894,4.634,26.63,31.264,64.11,9.231327066940509
IEK,упак,7,robust_ewma,365,65,5820.0,5389.211,52.665,-7.402,30.033,22.631,64.11,8.397479949481324
IEK,упак,7,sba_a0.05_p0,365,65,5820.0,6089.347,56.351,4.628,25.862,30.49,64.11,8.985328692548352
IEK,упак,7,sba_a0.1_p0,365,65,5820.0,6109.722,60.25,4.978,27.636,32.614,64.11,9.606973668668225
IEK,упак,7,sba_a0.2_p0,365,65,5820.0,5924.628,67.192,1.798,32.697,34.495,64.11,10.713935670029416
IEK,упак,7,tsb_a0.05_p0.01,365,65,5820.0,5294.717,50.795,-9.025,29.91,20.885,64.11,8.099297504634862
IEK,упак,7,tsb_a0.05_p0.05,365,65,5820.0,6141.312,54.496,5.521,24.488,30.009,64.11,8.689542149253155
IEK,упак,7,tsb_a0.05_p0.1,365,65,5820.0,6212.806,54.294,6.749,23.773,30.522,64.11,8.657350997957295
IEK,упак,7,tsb_a0.05_p0.2,365,65,5820.0,6204.561,52.639,6.608,23.016,29.623,64.11,8.393373291976854
IEK,упак,7,tsb_a0.1_p0.01,365,65,5820.0,5313.042,54.376,-8.711,31.544,22.833,64.11,8.670439191839993
IEK,упак,7,tsb_a0.1_p0.05,365,65,5820.0,6152.131,57.504,5.707,25.899,31.605,64.11,9.169146445225953
IEK,упак,7,tsb_a0.1_p0.1,365,65,5820.0,6219.499,57.351,6.864,25.244,32.108,64.11,9.144799011851735
IEK,упак,7,tsb_a0.1_p0.2,365,65,5820.0,6206.303,55.7,6.638,24.531,31.169,64.11,8.88143189661429
IEK,упак,7,tsb_a0.2_p0.01,365,65,5820.0,5306.394,61.447,-8.825,35.136,26.311,64.11,9.79779638482191
IEK,упак,7,tsb_a0.2_p0.05,365,65,5820.0,6144.236,64.492,5.571,29.46,35.031,64.11,10.28332062902581
IEK,упак,7,tsb_a0.2_p0.1,365,65,5820.0,6202.572,64.397,6.573,28.912,35.485,64.11,10.26828549386627
IEK,упак,7,tsb_a0.2_p0.2,365,65,5820.0,6166.183,62.75,5.948,28.401,34.349,64.11,10.005673110015431
