origin,supplier,unit,horizon,model,n,sku_count,actual_qty,predicted_qty,wape_pct,bias_pct,underforecast_pct,overforecast_pct,zero_actual_pct,mae
2025-07-01,IEK,шт,7,sultan_mean59,1265,1265,21699.0,29362.39,73.559,35.317,19.121,54.438,64.585,12.617913847390632
2025-07-01,IEK,шт,7,mean28,1265,1265,21699.0,32200.0,86.239,48.394,18.923,67.316,64.585,14.792885375494071
2025-07-01,IEK,шт,7,weekly_ewma,1265,1265,21699.0,32040.403,83.993,47.658,18.167,65.826,64.585,14.407575931101992
2025-07-01,IEK,шт,7,robust_ewma,1265,1265,21699.0,29400.897,76.029,35.494,20.267,55.761,64.585,13.041454016264527
2025-07-01,IEK,шт,7,baseline_selected,1265,1265,21699.0,29400.897,76.029,35.494,20.267,55.761,64.585,13.041454016264527
2025-07-01,IEK,шт,7,sba_selected,1265,1265,21699.0,29008.339,73.224,33.685,19.769,53.454,64.585,12.560295260159744
2025-07-01,IEK,шт,7,tsb_selected,1265,1265,21699.0,30926.464,79.668,42.525,18.571,61.096,64.585,13.665690102525414
2025-07-01,IEK,м,7,sultan_mean59,89,89,13209.0,11636.729,72.208,-11.903,42.055,30.152,53.933,107.16777756617789
2025-07-01,IEK,м,7,mean28,89,89,13209.0,13655.0,83.788,3.376,40.206,43.582,53.933,124.35393258426966
2025-07-01,IEK,м,7,weekly_ewma,89,89,13209.0,13543.436,73.198,2.532,35.333,37.865,53.933,108.63754487360262
2025-07-01,IEK,м,7,robust_ewma,89,89,13209.0,10850.856,69.089,-17.853,43.471,25.618,53.933,102.53903972236708
2025-07-01,IEK,м,7,baseline_selected,89,89,13209.0,10850.856,69.089,-17.853,43.471,25.618,53.933,102.53903972236708
2025-07-01,IEK,м,7,sba_selected,89,89,13209.0,10698.117,73.257,-19.009,46.133,27.124,53.933,108.72435978815346
2025-07-01,IEK,м,7,tsb_selected,89,89,13209.0,9379.126,72.206,-28.994,50.6,21.606,53.933,107.16568890485944
2025-07-01,IEK,упак,7,sultan_mean59,57,57,815.0,1016.542,50.217,24.729,12.744,37.473,73.684,7.180196253345227
2025-07-01,IEK,упак,7,mean28,57,57,815.0,1084.25,65.552,33.037,16.258,49.294,73.684,9.37280701754386
2025-07-01,IEK,упак,7,weekly_ewma,57,57,815.0,1081.917,55.386,32.751,11.318,44.068,73.684,7.919167650154074
2025-07-01,IEK,упак,7,robust_ewma,57,57,815.0,931.973,59.078,14.353,22.363,36.715,73.684,8.447056772488466
2025-07-01,IEK,упак,7,baseline_selected,57,57,815.0,1016.542,50.217,24.729,12.744,37.473,73.684,7.180196253345227
2025-07-01,IEK,упак,7,sba_selected,57,57,815.0,1044.847,56.415,28.202,14.106,42.308,73.684,8.06632081098135
2025-07-01,IEK,упак,7,tsb_selected,57,57,815.0,838.101,44.212,2.835,20.689,23.523,73.684,6.3214973947974435
2025-07-01,IEK,шт,28,sultan_mean59,1265,1265,127281.0,117449.559,38.516,-7.724,23.12,15.396,33.834,38.75408320493066
2025-07-01,IEK,шт,28,mean28,1265,1265,127281.0,128800.0,37.639,1.193,18.223,19.416,33.834,37.871146245059286
2025-07-01,IEK,шт,28,weekly_ewma,1265,1265,127281.0,128161.614,35.102,0.692,17.205,17.897,33.834,35.3188991099768
2025-07-01,IEK,шт,28,robust_ewma,1265,1265,127281.0,117603.589,32.447,-7.603,20.025,12.422,33.834,32.64769910305766
2025-07-01,IEK,шт,28,baseline_selected,1265,1265,127281.0,117603.589,32.447,-7.603,20.025,12.422,33.834,32.64769910305766
2025-07-01,IEK,шт,28,sba_selected,1265,1265,127281.0,116033.355,35.499,-8.837,22.168,13.331,33.834,35.7185471552162
2025-07-01,IEK,шт,28,tsb_selected,1265,1265,127281.0,123705.855,34.878,-2.809,18.843,16.034,33.834,35.09283338187097
2025-07-01,IEK,м,28,sultan_mean59,89,89,65002.0,46546.915,51.472,-28.392,39.932,11.54,23.596,375.9314416301657
2025-07-01,IEK,м,28,mean28,89,89,65002.0,54620.0,52.592,-15.972,34.282,18.31,23.596,384.1123595505618
2025-07-01,IEK,м,28,weekly_ewma,89,89,65002.0,54173.745,46.333,-16.658,31.496,14.838,23.596,338.4004771463092
2025-07-01,IEK,м,28,robust_ewma,89,89,65002.0,43403.423,52.681,-33.228,42.954,9.727,23.596,384.76165702285874
2025-07-01,IEK,м,28,baseline_selected,89,89,65002.0,43403.423,52.681,-33.228,42.954,9.727,23.596,384.76165702285874
2025-07-01,IEK,м,28,sba_selected,89,89,65002.0,49035.91,46.647,-24.562,35.605,11.042,23.596,340.6937286980398
2025-07-01,IEK,м,28,tsb_selected,89,89,65002.0,51031.845,43.2,-21.492,32.346,10.854,23.596,315.51406354679835
2025-07-01,IEK,упак,28,sultan_mean59,57,57,3325.0,4066.169,44.953,22.291,11.331,33.622,36.842,26.222717811477843
2025-07-01,IEK,упак,28,mean28,57,57,3325.0,4337.0,59.429,30.436,14.496,44.932,36.842,34.666666666666664
2025-07-01,IEK,упак,28,weekly_ewma,57,57,3325.0,4327.669,49.341,30.155,9.593,39.748,36.842,28.782208141726297
2025-07-01,IEK,упак,28,robust_ewma,57,57,3325.0,3727.892,45.741,12.117,16.812,28.929,36.842,26.68203535657568
2025-07-01,IEK,упак,28,baseline_selected,57,57,3325.0,3727.892,45.741,12.117,16.812,28.929,36.842,26.68203535657568
2025-07-01,IEK,упак,28,sba_selected,57,57,3325.0,4179.389,47.488,25.696,10.896,36.592,36.842,27.701359847033146
2025-07-01,IEK,упак,28,tsb_selected,57,57,3325.0,3352.406,38.621,0.824,18.898,19.723,36.842,22.529038548868687
2025-08-01,IEK,шт,7,sultan_mean59,1355,1355,45885.0,32801.288,48.625,-28.514,38.57,10.056,58.303,16.466258052411032
2025-08-01,IEK,шт,7,mean28,1355,1355,45885.0,33242.75,47.391,-27.552,37.471,9.919,58.303,16.048154981549814
2025-08-01,IEK,шт,7,weekly_ewma,1355,1355,45885.0,34382.866,47.131,-25.067,36.099,11.032,58.303,15.960041095928545
2025-08-01,IEK,шт,7,robust_ewma,1355,1355,45885.0,32188.141,46.776,-29.85,38.313,8.463,58.303,15.840127619768397
2025-08-01,IEK,шт,7,baseline_selected,1355,1355,45885.0,32188.141,46.776,-29.85,38.313,8.463,58.303,15.840127619768397
2025-08-01,IEK,шт,7,sba_selected,1355,1355,45885.0,32307.969,48.85,-29.589,39.219,9.63,58.303,16.542173178366237
2025-08-01,IEK,шт,7,tsb_selected,1355,1355,45885.0,34661.529,46.065,-24.46,35.263,10.803,58.303,15.599215935868257
2025-08-01,IEK,м,7,sultan_mean59,96,96,12316.0,15079.186,81.075,22.436,29.32,51.755,50.0,104.01271186440677
2025-08-01,IEK,м,7,mean28,96,96,12316.0,15450.75,83.142,25.453,28.845,54.297,50.0,106.6640625
2025-08-01,IEK,м,7,weekly_ewma,96,96,12316.0,15551.642,84.007,26.272,28.868,55.139,50.0,107.77414286010791
2025-08-01,IEK,м,7,robust_ewma,96,96,12316.0,12974.22,72.816,5.344,33.736,39.08,50.0,93.41697711991982
2025-08-01,IEK,м,7,baseline_selected,96,96,12316.0,12974.22,72.816,5.344,33.736,39.08,50.0,93.41697711991982
2025-08-01,IEK,м,7,sba_selected,96,96,12316.0,13034.795,73.534,5.836,33.849,39.685,50.0,94.33845181131575
2025-08-01,IEK,м,7,tsb_selected,96,96,12316.0,11352.115,71.106,-7.826,39.466,31.64,50.0,91.22360020019458
2025-08-01,IEK,упак,7,sultan_mean59,59,59,1184.0,1003.492,44.875,-15.246,30.06,14.815,57.627,9.005458201666187
2025-08-01,IEK,упак,7,mean28,59,59,1184.0,894.0,58.108,-24.493,41.301,16.807,57.627,11.661016949152541
2025-08-01,IEK,упак,7,weekly_ewma,59,59,1184.0,962.847,57.082,-18.678,37.88,19.202,57.627,11.455199143232656
2025-08-01,IEK,упак,7,robust_ewma,59,59,1184.0,812.497,46.62,-31.377,38.998,7.622,57.627,9.355607019702447
2025-08-01,IEK,упак,7,baseline_selected,59,59,1184.0,1003.492,44.875,-15.246,30.06,14.815,57.627,9.005458201666187
2025-08-01,IEK,упак,7,sba_selected,59,59,1184.0,965.647,52.847,-18.442,35.644,17.202,57.627,10.605222032657487
