phase,supplier,unit,horizon,segment,model,n,sku_count,actual_qty,predicted_qty,wape_pct,bias_pct,underforecast_pct,overforecast_pct,zero_actual_pct,mae
retrospective_2026,IEK,шт,7,all,robust_ewma,14288,1866,185942.0,196642.955,71.928,5.755,33.087,38.842,74.384,9.360627399793973
retrospective_2026,IEK,шт,7,all,baseline_selected,14288,1866,185942.0,196642.955,71.928,5.755,33.087,38.842,74.384,9.360627399793973
retrospective_2026,IEK,шт,7,all,sba_selected,14288,1866,185942.0,295984.061,116.267,59.181,28.543,87.724,74.384,15.130873931635284
retrospective_2026,IEK,шт,7,all,tsb_selected,14288,1866,185942.0,223992.013,76.928,20.463,28.232,48.696,74.384,10.01125643050037
retrospective_2026,IEK,шт,7,intermittent,sultan_mean59,10571,1603,9617.0,9186.017,157.686,-4.481,81.084,76.602,88.156,1.4345547219848354
retrospective_2026,IEK,шт,7,intermittent,mean28,10571,1603,9617.0,8268.0,154.242,-14.027,84.135,70.108,88.156,1.403225806451613
retrospective_2026,IEK,шт,7,intermittent,weekly_ewma,10571,1603,9617.0,8729.529,155.118,-9.228,82.173,72.945,88.156,1.4111870457767246
retrospective_2026,IEK,шт,7,intermittent,robust_ewma,10571,1603,9617.0,7735.442,148.358,-19.565,83.962,64.397,88.156,1.349694970365989
retrospective_2026,IEK,шт,7,intermittent,baseline_selected,10571,1603,9617.0,7735.442,148.358,-19.565,83.962,64.397,88.156,1.349694970365989
retrospective_2026,IEK,шт,7,intermittent,sba_selected,10571,1603,9617.0,87276.489,950.56,807.523,71.518,879.041,88.156,8.647745522669577
retrospective_2026,IEK,шт,7,intermittent,tsb_selected,10571,1603,9617.0,9482.889,158.266,-1.395,79.83,78.436,88.156,1.4398306698257708
retrospective_2026,IEK,шт,7,regular,sultan_mean59,3717,745,176325.0,210244.881,71.864,19.237,26.313,45.55,35.217,34.0903088421043
retrospective_2026,IEK,шт,7,regular,mean28,3717,745,176325.0,213895.25,76.329,21.307,27.511,48.818,35.217,36.208703255313424
retrospective_2026,IEK,шт,7,regular,weekly_ewma,3717,745,176325.0,212129.951,74.075,20.306,26.885,47.191,35.217,35.139447606026955
retrospective_2026,IEK,шт,7,regular,robust_ewma,3717,745,176325.0,188907.513,67.76,7.136,30.312,37.448,35.217,32.14340025733587
retrospective_2026,IEK,шт,7,regular,baseline_selected,3717,745,176325.0,188907.513,67.76,7.136,30.312,37.448,35.217,32.14340025733587
retrospective_2026,IEK,шт,7,regular,sba_selected,3717,745,176325.0,208707.573,70.764,18.365,26.199,44.565,35.217,33.56863298764188
retrospective_2026,IEK,шт,7,regular,tsb_selected,3717,745,176325.0,214509.124,72.491,21.656,25.418,47.073,35.217,34.388050004912856
retrospective_2026,IEK,м,7,all,sultan_mean59,857,109,60521.0,63527.847,98.687,4.968,46.859,51.827,63.477,69.69214643118485
retrospective_2026,IEK,м,7,all,mean28,857,109,60521.0,67410.0,105.859,11.383,47.238,58.621,63.477,74.75729288214703
retrospective_2026,IEK,м,7,all,weekly_ewma,857,109,60521.0,66168.042,103.673,9.331,47.171,56.502,63.477,73.21329058020739
retrospective_2026,IEK,м,7,all,robust_ewma,857,109,60521.0,50887.091,92.697,-15.918,54.308,38.389,63.477,65.4622842617124
retrospective_2026,IEK,м,7,all,baseline_selected,857,109,60521.0,50887.091,92.697,-15.918,54.308,38.389,63.477,65.4622842617124
retrospective_2026,IEK,м,7,all,sba_selected,857,109,60521.0,70466.064,105.159,16.432,44.363,60.796,63.477,74.26286255067441
retrospective_2026,IEK,м,7,all,tsb_selected,857,109,60521.0,69529.153,103.253,14.884,44.184,59.069,63.477,72.9170499015921
retrospective_2026,IEK,м,7,regular,sultan_mean59,341,60,52718.0,59745.475,93.153,13.33,39.912,53.242,28.152,144.01346985436652
retrospective_2026,IEK,м,7,regular,mean28,341,60,52718.0,64294.5,102.553,21.959,40.297,62.256,28.152,158.54545454545453
retrospective_2026,IEK,м,7,regular,weekly_ewma,341,60,52718.0,63093.853,100.245,19.682,40.282,59.964,28.152,154.97763173272145
retrospective_2026,IEK,м,7,regular,robust_ewma,341,60,52718.0,48197.698,88.26,-8.574,48.417,39.843,28.152,136.44914030482806
retrospective_2026,IEK,м,7,regular,baseline_selected,341,60,52718.0,48197.698,88.26,-8.574,48.417,39.843,28.152,136.44914030482806
retrospective_2026,IEK,м,7,regular,sba_selected,341,60,52718.0,62816.743,97.053,19.156,38.948,58.105,28.152,150.04242645801324
retrospective_2026,IEK,м,7,regular,tsb_selected,341,60,52718.0,63185.221,96.776,19.855,38.461,58.316,28.152,149.61449660616887
retrospective_2026,IEK,упак,7,all,sultan_mean59,547,71,4837.0,5496.068,81.969,13.626,34.172,47.798,69.287,7.248380999597187
retrospective_2026,IEK,упак,7,all,mean28,547,71,4837.0,5423.75,83.838,12.13,35.854,47.984,69.287,7.413619744058501
retrospective_2026,IEK,упак,7,all,weekly_ewma,547,71,4837.0,5481.394,82.824,13.322,34.751,48.073,69.287,7.323963719367949
retrospective_2026,IEK,упак,7,all,robust_ewma,547,71,4837.0,4651.402,73.341,-3.837,38.589,34.752,69.287,6.485357680789424
retrospective_2026,IEK,упак,7,all,baseline_selected,547,71,4837.0,5496.068,81.969,13.626,34.172,47.798,69.287,7.248380999597187
retrospective_2026,IEK,упак,7,all,sba_selected,547,71,4837.0,5683.975,82.629,17.51,32.559,50.07,69.287,7.306716918787957
retrospective_2026,IEK,упак,7,all,tsb_selected,547,71,4837.0,5653.725,82.138,16.885,32.626,49.511,69.287,7.26325727171456
retrospective_2026,IEK,упак,7,intermittent,sultan_mean59,370,60,147.0,232.424,201.776,58.111,71.832,129.944,85.405,0.8016491067338525
retrospective_2026,IEK,упак,7,intermittent,mean28,370,60,147.0,247.75,228.401,68.537,79.932,148.469,85.405,0.9074324324324324
retrospective_2026,IEK,упак,7,intermittent,weekly_ewma,370,60,147.0,254.511,222.858,73.137,74.861,147.998,85.405,0.8854104279273985
retrospective_2026,IEK,упак,7,intermittent,robust_ewma,370,60,147.0,219.694,200.546,49.452,75.547,124.999,85.405,0.7967642322605788
retrospective_2026,IEK,упак,7,intermittent,baseline_selected,370,60,147.0,232.424,201.776,58.111,71.832,129.944,85.405,0.8016491067338525
retrospective_2026,IEK,упак,7,intermittent,sba_selected,370,60,147.0,430.137,301.298,192.61,54.344,246.954,85.405,1.1970487764175084
