phase,supplier,unit,horizon,segment,model,n,sku_count,actual_qty,predicted_qty,wape_pct,bias_pct,underforecast_pct,overforecast_pct,zero_actual_pct
validation_2025,IEK,шт,7,no_ambiguous_rows_sensitivity,seasonal364,8652,1596,152873.0,171154.213,68.345,11.958,28.193,40.152,65.973
validation_2025,IEK,шт,7,no_ambiguous_rows_sensitivity,seasonal_blend,8652,1596,152873.0,171154.213,68.345,11.958,28.193,40.152,65.973
validation_2025,IEK,шт,7,no_ambiguous_rows_sensitivity,selected_2025,8652,1596,152873.0,154459.666,63.301,1.038,31.132,32.169,65.973
validation_2025,IEK,шт,7,regular,sultan_mean59,3131,762,175680.0,191064.051,56.928,8.757,24.086,32.843,31.396
validation_2025,IEK,шт,7,regular,mean28,3131,762,175680.0,195850.25,60.554,11.481,24.536,36.018,31.396
validation_2025,IEK,шт,7,regular,weekly_ewma,3131,762,175680.0,197741.561,59.278,12.558,23.36,35.918,31.396
validation_2025,IEK,шт,7,regular,robust_ewma,3131,762,175680.0,180956.714,55.062,3.004,26.029,29.033,31.396
validation_2025,IEK,шт,7,regular,seasonal364,3131,762,175680.0,197741.561,59.278,12.558,23.36,35.918,31.396
validation_2025,IEK,шт,7,regular,seasonal_blend,3131,762,175680.0,197741.561,59.278,12.558,23.36,35.918,31.396
validation_2025,IEK,шт,7,regular,selected_2025,3131,762,175680.0,180956.714,55.062,3.004,26.029,29.033,31.396
validation_2025,IEK,м,7,all,sultan_mean59,588,102,72010.0,81247.576,87.846,12.828,37.509,50.337,51.361
validation_2025,IEK,м,7,all,mean28,588,102,72010.0,81195.75,89.56,12.756,38.402,51.158,51.361
validation_2025,IEK,м,7,all,weekly_ewma,588,102,72010.0,82982.785,87.893,15.238,36.328,51.566,51.361
validation_2025,IEK,м,7,all,robust_ewma,588,102,72010.0,67219.658,79.69,-6.652,43.171,36.519,51.361
validation_2025,IEK,м,7,all,seasonal364,588,102,72010.0,82982.785,87.893,15.238,36.328,51.566,51.361
validation_2025,IEK,м,7,all,seasonal_blend,588,102,72010.0,82982.785,87.893,15.238,36.328,51.566,51.361
validation_2025,IEK,м,7,all,selected_2025,588,102,72010.0,67219.658,79.69,-6.652,43.171,36.519,51.361
validation_2025,IEK,м,7,regular,sultan_mean59,294,66,70649.0,79722.881,86.521,12.844,36.839,49.682,23.469
validation_2025,IEK,м,7,regular,mean28,294,66,70649.0,79696.0,88.102,12.806,37.648,50.454,23.469
validation_2025,IEK,м,7,regular,weekly_ewma,294,66,70649.0,81517.315,86.612,15.384,35.614,50.998,23.469
validation_2025,IEK,м,7,regular,robust_ewma,294,66,70649.0,65904.062,78.294,-6.716,42.505,35.789,23.469
validation_2025,IEK,м,7,regular,seasonal364,294,66,70649.0,81517.315,86.612,15.384,35.614,50.998,23.469
validation_2025,IEK,м,7,regular,seasonal_blend,294,66,70649.0,81517.315,86.612,15.384,35.614,50.998,23.469
validation_2025,IEK,м,7,regular,selected_2025,294,66,70649.0,65904.062,78.294,-6.716,42.505,35.789,23.469
