supplier,unit,horizon,model,feature,gain
IEK,м,7,tweedie_full,sku_id,2537865.152294159
IEK,м,7,tweedie_full,age,23639.730318069458
IEK,м,7,tweedie_full,days_since_sale,6768.468223571777
IEK,м,7,tweedie_full,month_sin,7642.000312805176
IEK,м,7,tweedie_full,month_cos,11232.06865119934
IEK,м,7,tweedie_full,weekday,710.0625152587891
IEK,м,7,tweedie_full,month_day,19222.893096923828
IEK,м,7,tweedie_full,mean_7,11769.661804199219
IEK,м,7,tweedie_full,active_fraction_7,2504.5145988464355
IEK,м,7,tweedie_full,mean_14,13039.7845993042
IEK,м,7,tweedie_full,active_fraction_14,15603.542182922363
IEK,м,7,tweedie_full,mean_28,13112.212295532227
IEK,м,7,tweedie_full,active_fraction_28,3805.9033184051514
IEK,м,7,tweedie_full,mean_56,13602.0073928833
IEK,м,7,tweedie_full,active_fraction_56,27983.08670425415
IEK,м,7,tweedie_full,mean_84,73215.8862323761
IEK,м,7,tweedie_full,active_fraction_84,19371.414783477783
IEK,м,7,tweedie_full,week_lag_1,0.0
IEK,м,7,tweedie_full,week_lag_2,8319.009174346924
IEK,м,7,tweedie_full,week_lag_3,8341.850910186768
IEK,м,7,tweedie_full,week_lag_4,6009.710424423218
IEK,м,7,tweedie_full,week_lag_5,4444.803340911865
IEK,м,7,tweedie_full,week_lag_6,6305.26540184021
IEK,м,7,tweedie_full,week_lag_7,11117.734397888184
IEK,м,7,tweedie_full,week_lag_8,14147.668563842773
IEK,м,7,tweedie_full,max_56,5436.67094039917
IEK,м,7,tweedie_full,std_56,4193.540542602539
IEK,м,7,tweedie_full,positive_size_56,8266.751728057861
IEK,м,7,tweedie_full,recent_ratio,5701.247381210327
IEK,м,7,tweedie_no_sku,age,24599.33594894409
IEK,м,7,tweedie_no_sku,days_since_sale,21817.026399612427
IEK,м,7,tweedie_no_sku,month_sin,16005.564762115479
IEK,м,7,tweedie_no_sku,month_cos,19510.978979110718
IEK,м,7,tweedie_no_sku,weekday,1712.8926849365234
IEK,м,7,tweedie_no_sku,month_day,20958.559827804565
IEK,м,7,tweedie_no_sku,mean_7,12847.100578308105
IEK,м,7,tweedie_no_sku,active_fraction_7,2348.604684829712
IEK,м,7,tweedie_no_sku,mean_14,24840.914665222168
IEK,м,7,tweedie_no_sku,active_fraction_14,13054.67966079712
IEK,м,7,tweedie_no_sku,mean_28,17465.693744659424
IEK,м,7,tweedie_no_sku,active_fraction_28,4773.632076263428
IEK,м,7,tweedie_no_sku,mean_56,1194577.779724121
IEK,м,7,tweedie_no_sku,active_fraction_56,33418.06652069092
IEK,м,7,tweedie_no_sku,mean_84,1111358.1789016724
IEK,м,7,tweedie_no_sku,active_fraction_84,50020.32532501221
IEK,м,7,tweedie_no_sku,week_lag_1,0.0
IEK,м,7,tweedie_no_sku,week_lag_2,9221.557188034058
IEK,м,7,tweedie_no_sku,week_lag_3,8359.539289474487
IEK,м,7,tweedie_no_sku,week_lag_4,10202.210020065308
IEK,м,7,tweedie_no_sku,week_lag_5,11107.446430206299
IEK,м,7,tweedie_no_sku,week_lag_6,10222.143537521362
IEK,м,7,tweedie_no_sku,week_lag_7,12286.31842803955
IEK,м,7,tweedie_no_sku,week_lag_8,26707.301498413086
IEK,м,7,tweedie_no_sku,max_56,4286.703277587891
IEK,м,7,tweedie_no_sku,std_56,7171.673263549805
IEK,м,7,tweedie_no_sku,positive_size_56,58785.46943473816
IEK,м,7,tweedie_no_sku,recent_ratio,11420.676845550537
IEK,м,7,tweedie_no_calendar,sku_id,2534284.5325336456
IEK,м,7,tweedie_no_calendar,age,36746.42337036133
IEK,м,7,tweedie_no_calendar,days_since_sale,8524.005577087402
IEK,м,7,tweedie_no_calendar,mean_7,12516.103843688965
IEK,м,7,tweedie_no_calendar,active_fraction_7,2422.928497314453
IEK,м,7,tweedie_no_calendar,mean_14,14350.406112670898
IEK,м,7,tweedie_no_calendar,active_fraction_14,17057.83420562744
IEK,м,7,tweedie_no_calendar,mean_28,10332.569034576416
IEK,м,7,tweedie_no_calendar,active_fraction_28,5365.797830581665
IEK,м,7,tweedie_no_calendar,mean_56,13097.123260498047
IEK,м,7,tweedie_no_calendar,active_fraction_56,27892.970947265625
IEK,м,7,tweedie_no_calendar,mean_84,57286.16184616089
IEK,м,7,tweedie_no_calendar,active_fraction_84,21572.76434135437
IEK,м,7,tweedie_no_calendar,week_lag_1,0.0
IEK,м,7,tweedie_no_calendar,week_lag_2,8757.744510650635
IEK,м,7,tweedie_no_calendar,week_lag_3,7701.1851444244385
IEK,м,7,tweedie_no_calendar,week_lag_4,5701.192771911621
IEK,м,7,tweedie_no_calendar,week_lag_5,7389.259878158569
