origin,supplier,unit,horizon,model,n,sku_count,actual_qty,predicted_qty,wape_pct,bias_pct,underforecast_pct,overforecast_pct,zero_actual_pct,mae
2025-07-01,IEK,м,7,baseline_selected,89,89,13209.0,10850.856,69.089,-17.853,43.471,25.618,53.933,102.53903972236708
2025-07-01,IEK,м,7,tweedie_full,89,89,13209.0,10291.342,75.766,-22.088,48.927,26.839,53.933,112.44894380615617
2025-07-01,IEK,м,7,tweedie_no_sku,89,89,13209.0,11158.703,69.836,-15.522,42.679,27.157,53.933,103.64775261698634
2025-07-01,IEK,м,7,tweedie_no_calendar,89,89,13209.0,13465.086,75.262,1.939,36.662,38.601,53.933,111.70123910800814
2025-07-01,IEK,м,7,tweedie_no_week_lags,89,89,13209.0,10076.318,70.895,-23.716,47.305,23.589,53.933,105.21861310137801
2025-07-01,IEK,м,7,lgbm_selected,89,89,13209.0,11158.703,69.836,-15.522,42.679,27.157,53.933,103.64775261698634
2025-08-01,IEK,м,7,baseline_selected,96,96,12316.0,12974.22,72.816,5.344,33.736,39.08,50.0,93.41697711991982
2025-08-01,IEK,м,7,tweedie_full,96,96,12316.0,13039.305,77.503,5.873,35.815,41.688,50.0,99.42950589634334
2025-08-01,IEK,м,7,tweedie_no_sku,96,96,12316.0,13515.937,76.247,9.743,33.252,42.995,50.0,97.81864215596995
2025-08-01,IEK,м,7,tweedie_no_calendar,96,96,12316.0,16131.642,84.813,30.981,26.916,57.897,50.0,108.80751919022532
2025-08-01,IEK,м,7,tweedie_no_week_lags,96,96,12316.0,14223.867,92.565,15.491,38.537,54.028,50.0,118.75307533678934
2025-08-01,IEK,м,7,lgbm_selected,96,96,12316.0,13515.937,76.247,9.743,33.252,42.995,50.0,97.81864215596995
2025-09-01,IEK,м,7,baseline_selected,98,98,13681.0,12681.125,83.239,-7.308,45.274,37.965,52.041,116.203376117292
2025-09-01,IEK,м,7,tweedie_full,98,98,13681.0,11767.798,97.186,-13.984,55.585,41.601,52.041,135.67383539566598
2025-09-01,IEK,м,7,tweedie_no_sku,98,98,13681.0,12011.603,95.311,-12.202,53.757,41.554,52.041,133.05571991150214
2025-09-01,IEK,м,7,tweedie_no_calendar,98,98,13681.0,13994.675,97.901,2.293,47.804,50.097,52.041,136.67232782875445
2025-09-01,IEK,м,7,tweedie_no_week_lags,98,98,13681.0,11798.955,95.484,-13.757,54.62,40.864,52.041,133.29776303871657
2025-09-01,IEK,м,7,lgbm_selected,98,98,13681.0,12011.603,95.311,-12.202,53.757,41.554,52.041,133.05571991150214
2025-10-01,IEK,м,7,baseline_selected,101,101,16353.0,10927.36,69.975,-33.178,51.577,18.398,47.525,113.29752275371222
2025-10-01,IEK,м,7,tweedie_full,101,101,16353.0,10605.703,64.959,-35.145,50.052,14.907,47.525,105.17589145076596
2025-10-01,IEK,м,7,tweedie_no_sku,101,101,16353.0,11836.391,70.523,-27.619,49.071,21.452,47.525,114.1836776707609
2025-10-01,IEK,м,7,tweedie_no_calendar,101,101,16353.0,13950.001,71.674,-14.695,43.184,28.49,47.525,116.04803970373216
2025-10-01,IEK,м,7,tweedie_no_week_lags,101,101,16353.0,11615.566,69.257,-28.97,49.113,20.144,47.525,112.13466439881987
2025-10-01,IEK,м,7,lgbm_selected,101,101,16353.0,11836.391,70.523,-27.619,49.071,21.452,47.525,114.1836776707609
2025-11-01,IEK,м,7,baseline_selected,102,102,5957.0,10973.943,155.584,84.219,35.682,119.901,54.902,90.86390011027295
2025-11-01,IEK,м,7,tweedie_full,102,102,5957.0,9579.939,146.972,60.818,43.077,103.895,54.902,85.8345553212697
2025-11-01,IEK,м,7,tweedie_no_sku,102,102,5957.0,8762.807,136.846,47.101,44.873,91.974,54.902,79.92102311864487
2025-11-01,IEK,м,7,tweedie_no_calendar,102,102,5957.0,10614.121,151.216,78.179,36.519,114.698,54.902,88.31322969507967
2025-11-01,IEK,м,7,tweedie_no_week_lags,102,102,5957.0,10407.706,149.348,74.714,37.317,112.031,54.902,87.22223855539714
2025-11-01,IEK,м,7,lgbm_selected,102,102,5957.0,8762.807,136.846,47.101,44.873,91.974,54.902,79.92102311864487
2025-12-01,IEK,м,7,baseline_selected,102,102,10494.0,8812.156,68.53,-16.027,42.278,26.251,50.0,70.50477337559502
2025-12-01,IEK,м,7,tweedie_full,102,102,10494.0,6479.708,69.714,-38.253,53.984,15.73,50.0,71.7233828831121
2025-12-01,IEK,м,7,tweedie_no_sku,102,102,10494.0,5684.12,73.202,-45.835,59.518,13.684,50.0,75.31189839222205
