phase,supplier,unit,horizon,segment,model,n,sku_count,actual_qty,predicted_qty,wape_pct,bias_pct,underforecast_pct,overforecast_pct,zero_actual_pct,mae
development_2025,IEK,м,7,all,baseline_selected,588,102,72010.0,67219.658,79.69,-6.652,43.171,36.519,51.361,97.59283961221267
development_2025,IEK,м,7,all,tweedie_full,588,102,72010.0,61763.795,82.687,-14.229,48.458,34.229,51.361,101.26343395739188
development_2025,IEK,м,7,all,tweedie_no_sku,588,102,72010.0,62969.56,81.962,-12.554,47.258,34.704,51.361,100.37586670079487
development_2025,IEK,м,7,all,tweedie_no_calendar,588,102,72010.0,74927.904,85.525,4.052,40.736,44.789,51.361,104.73912073472182
development_2025,IEK,м,7,all,tweedie_no_week_lags,588,102,72010.0,65260.223,85.27,-9.373,47.322,37.948,51.361,104.42640385601894
development_2025,IEK,м,7,all,lgbm_selected,588,102,72010.0,62969.56,81.962,-12.554,47.258,34.704,51.361,100.37586670079487
development_2025,IEK,м,7,regular,baseline_selected,294,66,70649.0,65904.062,78.294,-6.716,42.505,35.789,23.469,188.141470042224
development_2025,IEK,м,7,regular,tweedie_full,294,66,70649.0,60783.295,81.757,-13.964,47.861,33.897,23.469,196.46534514893312
development_2025,IEK,м,7,regular,tweedie_no_sku,294,66,70649.0,61672.316,80.693,-12.706,46.699,33.993,23.469,193.90670604249166
development_2025,IEK,м,7,regular,tweedie_no_calendar,294,66,70649.0,73473.63,84.225,3.998,40.114,44.112,23.469,202.39593649273874
development_2025,IEK,м,7,regular,tweedie_no_week_lags,294,66,70649.0,64201.918,84.306,-9.126,46.716,37.59,23.469,202.5886810952656
development_2025,IEK,м,7,regular,lgbm_selected,294,66,70649.0,61672.316,80.693,-12.706,46.699,33.993,23.469,193.90670604249166
development_2025,IEK,м,7,intermittent,baseline_selected,294,66,1361.0,1315.597,152.167,-3.336,77.752,74.416,79.252,7.044209182201355
development_2025,IEK,м,7,intermittent,tweedie_full,294,66,1361.0,980.5,130.94,-27.957,79.448,51.491,79.252,6.061522765850663
development_2025,IEK,м,7,intermittent,tweedie_no_sku,294,66,1361.0,1297.244,147.865,-4.684,76.275,71.59,79.252,6.845027359098058
development_2025,IEK,м,7,intermittent,tweedie_no_calendar,294,66,1361.0,1454.273,152.99,6.853,73.068,79.922,79.252,7.08230497670486
development_2025,IEK,м,7,intermittent,tweedie_no_week_lags,294,66,1361.0,1058.306,135.316,-22.241,78.778,56.538,79.252,6.264126616772311
development_2025,IEK,м,7,intermittent,lgbm_selected,294,66,1361.0,1297.244,147.865,-4.684,76.275,71.59,79.252,6.845027359098058
retrospective_2026,IEK,м,7,all,baseline_selected,857,109,60521.0,50887.091,92.697,-15.918,54.308,38.389,63.477,65.4622842617124
retrospective_2026,IEK,м,7,all,tweedie_full,857,109,60521.0,46766.064,85.829,-22.728,54.278,31.551,63.477,60.61224879834834
retrospective_2026,IEK,м,7,all,tweedie_no_sku,857,109,60521.0,48846.264,89.014,-19.29,54.152,34.862,63.477,62.861274934052034
retrospective_2026,IEK,м,7,all,tweedie_no_calendar,857,109,60521.0,54648.078,92.588,-9.704,51.146,41.442,63.477,65.38504374420387
retrospective_2026,IEK,м,7,all,tweedie_no_week_lags,857,109,60521.0,48033.102,84.409,-20.634,52.521,31.887,63.477,59.60904721842366
retrospective_2026,IEK,м,7,all,lgbm_selected,857,109,60521.0,48846.264,89.014,-19.29,54.152,34.862,63.477,62.861274934052034
retrospective_2026,IEK,м,7,regular,baseline_selected,341,60,52718.0,48197.698,88.26,-8.574,48.417,39.843,28.152,136.44914030482806
retrospective_2026,IEK,м,7,regular,tweedie_full,341,60,52718.0,44413.7,81.295,-15.752,48.523,32.771,28.152,125.67997463472786
retrospective_2026,IEK,м,7,regular,tweedie_no_sku,341,60,52718.0,45996.037,83.658,-12.751,48.204,35.454,28.152,129.33370210767293
retrospective_2026,IEK,м,7,regular,tweedie_no_calendar,341,60,52718.0,51598.878,88.234,-2.123,45.178,43.055,28.152,136.40781510325493
retrospective_2026,IEK,м,7,regular,tweedie_no_week_lags,341,60,52718.0,45758.306,79.93,-13.202,46.566,33.364,28.152,123.57106146258313
retrospective_2026,IEK,м,7,regular,lgbm_selected,341,60,52718.0,45996.037,83.658,-12.751,48.204,35.454,28.152,129.33370210767293
retrospective_2026,IEK,м,7,intermittent,baseline_selected,516,82,7803.0,2689.393,122.671,-65.534,94.102,28.569,86.822,18.550427845622398
retrospective_2026,IEK,м,7,intermittent,tweedie_full,516,82,7803.0,2352.364,116.466,-69.853,93.159,23.306,86.822,17.61206563903552
retrospective_2026,IEK,м,7,intermittent,tweedie_no_sku,516,82,7803.0,2850.227,125.2,-63.473,94.336,30.863,86.822,18.932791084818057
retrospective_2026,IEK,м,7,intermittent,tweedie_no_calendar,516,82,7803.0,3049.199,122.003,-60.923,91.463,30.54,86.822,18.449452594133323
retrospective_2026,IEK,м,7,intermittent,tweedie_no_week_lags,516,82,7803.0,2274.796,114.664,-70.847,92.756,21.908,86.822,17.339576564822153
retrospective_2026,IEK,м,7,intermittent,lgbm_selected,516,82,7803.0,2850.227,125.2,-63.473,94.336,30.863,86.822,18.932791084818057
development_2025,IEK,м,28,all,baseline_selected,588,102,306065.0,268878.633,50.471,-12.15,31.31,19.161,25.0,262.71158092292217
development_2025,IEK,м,28,all,tweedie_full,588,102,306065.0,313760.925,53.751,2.514,25.618,28.133,25.0,279.782798188605
development_2025,IEK,м,28,all,tweedie_no_sku,588,102,306065.0,325623.708,56.942,6.39,25.276,31.666,25.0,296.39435251090833
development_2025,IEK,м,28,all,tweedie_no_calendar,588,102,306065.0,313099.931,53.704,2.299,25.703,28.001,25.0,279.53883396698126
development_2025,IEK,м,28,all,tweedie_no_week_lags,588,102,306065.0,322241.399,54.643,5.285,24.679,29.964,25.0,284.42881450747535
development_2025,IEK,м,28,all,lgbm_selected,588,102,306065.0,313099.931,53.704,2.299,25.703,28.001,25.0,279.53883396698126
development_2025,IEK,м,28,regular,baseline_selected,294,66,297514.0,263616.247,49.132,-11.394,30.263,18.869,3.401,497.19518704820865
development_2025,IEK,м,28,regular,tweedie_full,294,66,297514.0,306818.331,52.35,3.127,24.611,27.739,3.401,529.7587512961867
development_2025,IEK,м,28,regular,tweedie_no_sku,294,66,297514.0,316237.476,54.748,6.293,24.227,30.521,3.401,554.0217457374191
development_2025,IEK,м,28,regular,tweedie_no_calendar,294,66,297514.0,306299.645,52.365,2.953,24.706,27.659,3.401,529.9099341953616
development_2025,IEK,м,28,regular,tweedie_no_week_lags,294,66,297514.0,315339.491,53.317,5.991,23.663,29.654,3.401,539.5431590856407
development_2025,IEK,м,28,regular,lgbm_selected,294,66,297514.0,306299.645,52.365,2.953,24.706,27.659,3.401,529.9099341953616
development_2025,IEK,м,28,intermittent,baseline_selected,294,66,8551.0,5262.386,97.053,-38.459,67.756,29.297,46.599,28.227974797635483
development_2025,IEK,м,28,intermittent,tweedie_full,294,66,8551.0,6942.594,102.482,-18.81,60.646,41.836,46.599,29.80684508102322
development_2025,IEK,м,28,intermittent,tweedie_no_sku,294,66,8551.0,9386.231,133.288,9.768,61.76,71.528,46.599,38.76695928439751
development_2025,IEK,м,28,intermittent,tweedie_no_calendar,294,66,8551.0,6800.286,100.284,-20.474,60.379,39.905,46.599,29.167733738600905
development_2025,IEK,м,28,intermittent,tweedie_no_week_lags,294,66,8551.0,6901.908,100.789,-19.285,60.037,40.752,46.599,29.31446992931003
development_2025,IEK,м,28,intermittent,lgbm_selected,294,66,8551.0,6800.286,100.284,-20.474,60.379,39.905,46.599,29.167733738600905
retrospective_2026,IEK,м,28,all,baseline_selected,857,109,263396.0,203548.366,64.977,-22.722,43.849,21.128,38.74,199.7032124383061
retrospective_2026,IEK,м,28,all,tweedie_full,857,109,263396.0,234664.373,58.803,-10.908,34.856,23.947,38.74,180.72939572026826
