run_id,comparison_signature,phase,supplier,unit,horizon,segment,model,n,wape_pct,bias_pct,underforecast_pct,mae
20260923T093731649804Z-baseline-v1,7cb7a0efc3014f3d2bdf6e77831cd1fc0b2298130b721552fb527c7e96287816,validation_2025,IEK,шт,7,all,selected_2025,8789,59.21,1.622,28.794,12.419360704549039
20260923T093731649804Z-baseline-v1,7cb7a0efc3014f3d2bdf6e77831cd1fc0b2298130b721552fb527c7e96287816,validation_2025,IEK,шт,7,intermittent,selected_2025,5658,143.264,-26.376,84.82,
20260923T093731649804Z-baseline-v1,7cb7a0efc3014f3d2bdf6e77831cd1fc0b2298130b721552fb527c7e96287816,validation_2025,IEK,шт,7,no_ambiguous_rows_sensitivity,selected_2025,8652,63.301,1.038,31.132,
20260923T093731649804Z-baseline-v1,7cb7a0efc3014f3d2bdf6e77831cd1fc0b2298130b721552fb527c7e96287816,validation_2025,IEK,шт,7,regular,selected_2025,3131,55.062,3.004,26.029,
20260923T093731649804Z-baseline-v1,7cb7a0efc3014f3d2bdf6e77831cd1fc0b2298130b721552fb527c7e96287816,validation_2025,IEK,м,7,all,selected_2025,588,79.69,-6.652,43.171,97.59283961221264
20260923T093731649804Z-baseline-v1,7cb7a0efc3014f3d2bdf6e77831cd1fc0b2298130b721552fb527c7e96287816,validation_2025,IEK,м,7,regular,selected_2025,294,78.294,-6.716,42.505,
20260923T093731649804Z-baseline-v1,7cb7a0efc3014f3d2bdf6e77831cd1fc0b2298130b721552fb527c7e96287816,validation_2025,IEK,м,7,no_ambiguous_rows_sensitivity,selected_2025,582,80.927,-7.744,44.336,
20260923T093731649804Z-baseline-v1,7cb7a0efc3014f3d2bdf6e77831cd1fc0b2298130b721552fb527c7e96287816,validation_2025,IEK,упак,7,all,selected_2025,365,51.879,1.877,25.001,8.272161597399576
20260923T093731649804Z-baseline-v1,7cb7a0efc3014f3d2bdf6e77831cd1fc0b2298130b721552fb527c7e96287816,validation_2025,IEK,упак,7,intermittent,selected_2025,234,117.912,-47.607,82.759,
20260923T093731649804Z-baseline-v1,7cb7a0efc3014f3d2bdf6e77831cd1fc0b2298130b721552fb527c7e96287816,validation_2025,IEK,упак,7,no_ambiguous_rows_sensitivity,selected_2025,359,52.936,0.313,26.311,
20260923T093731649804Z-baseline-v1,7cb7a0efc3014f3d2bdf6e77831cd1fc0b2298130b721552fb527c7e96287816,validation_2025,IEK,м,7,intermittent,selected_2025,294,152.167,-3.336,77.752,
20260923T093731649804Z-baseline-v1,7cb7a0efc3014f3d2bdf6e77831cd1fc0b2298130b721552fb527c7e96287816,validation_2025,IEK,упак,7,regular,selected_2025,131,48.915,4.098,22.408,
